"NAME_3","NAME_4","VDC_name"
"Achham","Mashtabamdali","Mashtanamdali"
"Achham","Chandika","Chandika(Bayalpata)"
"Achham","Walanta","Walant"
"Achham","Rodikot","Ridikot"
"Baglung","Malikathota","Malika"
"Baglung","Andheri (Narayanstha","Narayansthan"
"Baglung","KalikaN.P.","Baglung N.P."
"Baglung","DhulluGaidi","Dhullugaidi"
"Baitadi","DurgaBhabani","Durgabhabani"
"Baitadi","DasharathchandaN.P.","Dasharathchand N.P."
"Baitadi","SreeKedar","Sreekedar"
"Bajhang","Deulek","Deulekh"
"Banke","KhajuraKhurda","Khajurakhurda"
"Banke","KhajuraKhurda","Khajurakhurda"
"Banke","NepalgunjN.P.","Nepalganj N.P."
"Banke","Indrapur","Indarpur"
"Bara","KalaiyaN.P.","Kalaiya N.P."
"Bara","Mahendra Adarsha","Mahendraadarsha"
"Bara","Mahendra Adarsha","Mahendraadarsha"
"Bara","PakadiyaChikani","Pakadiyachikani"
"Bara","ShreenagarBairiya","Shreenagarbairiya"
"Bara","RampurTokani","Rampurtokani"
"Bara","PiparaSimara","Piparasimara"
"Bara","JitpurBhawanipur","Jitpurbhawanipur"
"Bara","Fatepur","Fattepur"
"Bara","BharatganjSigaul","Bharatganjsigaul"
"Bara","PiparpatiParchrouwa","Piparpatiparchrouwa"
"Bara","PipradhiGoth","Pipradhigoth"
"Bara","Bhaganpur","Bhagwanpur"
"Bara","BhaluyeeArwaliya","Bhaluyeearwaliya"
"Bara","Bhaganpur","Bhagwanpur"
"Bara","PipraBasantapur","Piprabasantapur"
"Bara","Piparpati Jabadi","Paparpatijabdi"
"Bara","Badaki Fulbariya","Badakifulbariya"
"Bara","n.a. (2)","Rampurwa"
"Bara","n.a. (1)","Raghunathpur"
"Bardiya","KhairiChandanpur","Khairichandanpur"
"Bardiya","GulariyaN.P.","Gulariya N.P."
"Bardiya","PasupatiNagar","Pasupatinagar"
"Bardiya","ManpurMainapokhar","Manpurmainapokhar"
"Bhaktapur","BhaktapurN.P.","Bhaktapur N.P."
"Bhaktapur","MadhyapurThimiN.P.","Madhyapur Thimi N.P."
"Bhaktapur","Bageswari","Bageswori"
"Bhojpur","TiwariBhangyan","Tiwaribhangyan"
"Bhojpur","ThuloDumma","Thulodumma"
"Bhojpur","SanoDumma","Sanodumma"
"Bhojpur","ManeBhanjyang","Manebhanjyang"
"Bhojpur","Baikunthe","Baikuntha"
"Bhojpur","Guptesor","Gupteshwor"
"Chitwan","RatnanagarN.P.","Ratnanagar N.P."
"Chitwan","MadiKalyanpur","Madikalyanpur"
"Chitwan","ChandiBhanjyang","Chandibhanjyang"
"Chitwan","BharatpurN.P.","Bharatpur N.P."
"Dadeldhura","AmargadhiN.P.","Amargadhi N.P."
"Dadeldhura","DewalDibyapur","Dewaldibyapur"
