"","District","VDC_name"
"61","Achham","Ridikot"
"123","Baglung","Baglung N.P."
"155","Baglung","Narayansthan"
"252","Bajhang","Deulekh"
"330","Banke","Indarpur"
"372","Bara","Bandhuwan"
"376","Bara","Basantpur"
"396","Bara","Fattepur"
"419","Bara","Laxmipurkotwali"
"431","Bara","Paparpatijabdi"
"442","Bara","Prasona"
"493","Bhaktapur","Bageswori"
"535","Bhojpur","Gupteshwor"
"730","Darchula","Bhagabati"
"1005","Dolakha","Sunakhani"
"1018","Dolpa","Laha"
"1113","Gorkha","Hanspur"
"1199","Gulmi","Jaisithok"
"1210","Gulmi","Musikot"
"1288","Ilam","Panchakanya"
"1399","Jumla","Kalikakhetu"
"1449","Kailali","Phulwari"
"1452","Kailali","Ratanpur"
"1462","Kalikot","Chhapre"
"1571","Kapilbastu","Pipara"
"1676","Kathmandu","Naikappuranobhanjyang"
"1703","Kavrepalanchok","Boldefediche"
"1831","Khotang","Mahadevasthan"
"1859","Lalitpur","Ashrang"
"1895","Lalitpur","Siddhipur"
"2019","Mahottari","Pokharibhindasamgrampur"
"2149","Morang","Sinhadevisombare"
"2231","Myagdi","Patlekhet"
"2290","Nawalparasi","Parsauni"
"2293","Nawalparasi","Pratappur"
"2320","Nuwakot","Beteni"
"2426","Okhaldhunga","Sisneri"
"2491","Palpa","Siddheshwor"
"2547","Parbat","Baskharka"
"2605","Parsa","Basantpur"
"2954","Rukum","Chaurjahari"
"3001","Rupandehi","Bhagawanpur"
"3090","Salyan","Laksmipur"
"3200","Saptari","Kabilash"
"3249","Saptari","Saraswor"
"3321","Sarlahi","Mailhi"
"3467","Sindhupalchowk","Pipaldanda"
"3521","Siraha","Dhangadi"
"3672","Sunsari","Panchakanya"
