"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4","VDC_name"
22995,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",1,"Janalibandali",NA,"Village development committee","Village development committee","Janalibandali"
22996,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",2,"Khaptad",NA,"Village development committee","Village development committee","Khaptad"
22997,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",3,"Babala",NA,"Village development committee","Village development committee","Babala"
22998,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",4,"Jalapadevi",NA,"Village development committee","Village development committee","Jalapadevi"
22999,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",5,"Warla",NA,"Village development committee","Village development committee","Warla"
23000,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",6,"Kalika",NA,"Village development committee","Village development committee","Kalika"
23001,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",7,"Bhairabsthan",NA,"Village development committee","Village development committee","Bhairabsthan"
23002,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",8,"Mashtabamdali",NA,"Village development committee","Village development committee","Mashtanamdali"
23003,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",9,"Kalikasthan",NA,"Village development committee","Village development committee","Kalikasthan"
23004,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",10,"Nada",NA,"Village development committee","Village development committee","Nada"
23005,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",11,"Payal",NA,"Village development committee","Village development committee","Payal"
23006,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",12,"Sera",NA,"Village development committee","Village development committee","Sera"
23007,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",13,"Basti",NA,"Village development committee","Village development committee","Basti"
23008,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",14,"Toli",NA,"Village development committee","Village development committee","Toli"
23009,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",15,"Khaptad National Par",NA,"Village development committee","Village development committee","Khaptad National Par"
23010,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",16,"Hichma",NA,"Village development committee","Village development committee","Hichma"
23011,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",17,"Hatikot",NA,"Village development committee","Village development committee","Hatikot"
23012,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",18,"Gajara",NA,"Village development committee","Village development committee","Gajara"
23013,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",19,"Duni",NA,"Village development committee","Village development committee","Duni"
23014,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",20,"Malatikot",NA,"Village development committee","Village development committee","Malatikot"
23015,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",21,"Dhungachalna",NA,"Village development committee","Village development committee","Dhungachalna"
23016,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",22,"Janalikot",NA,"Village development committee","Village development committee","Janalikot"
23017,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",23,"Dhudharukot",NA,"Village development committee","Village development committee","Dhudharukot"
23018,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",24,"Bannatoli",NA,"Village development committee","Village development committee","Bannatoli"
23019,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",25,"Jupu",NA,"Village development committee","Village development committee","Jupu"
23020,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",26,"Kalagau",NA,"Village development committee","Village development committee","Kalagau"
23021,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",27,"Dhodasain",NA,"Village development committee","Village development committee","Dhodasain"
23022,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",28,"Kalekanda",NA,"Village development committee","Village development committee","Kalekanda"
